TransactionID,CustomerID,ProductCategory,Amount,TransactionDateTime
da2287c4-8195-421e-81cb-ca02661163a2,a6eb80ef-72d6-4a63-a4b7-c70492645e91,Beauty,83.65,2024-04-27 15:58:14
8808ac92-f9db-4265-a155-c8af1c2eaf32,9708b93c-663d-435c-b7bf-e7da34c431bf,Home,145.75,2024-04-15 16:32:47
2d1370fa-4e01-484b-b57e-ce00e4e3a07d,11a7bad5-c415-484b-a1c0-cf78c1c23707,Sports,408.13,2024-03-16 10:17:56
cb5dbcf8-ba86-4bf8-943e-6536bb1b80c8,c746f544-3b0d-412b-8c49-a3a2450cc488,Home,254.14,2024-05-03 21:41:46
561a0440-1d2e-4dad-bf6d-ac60845b6a04,e6e242c0-52d3-48cb-84d7-b7578e77ce31,Sports,277.24,2024-05-10 21:33:23
1da7c824-f66d-4661-8292-755f1cb8edad,78ed280f-3ec8-4dae-ac9e-e7a75d63bb99,Clothing,105.38,2024-05-16 00:09:35
cef3fca2-1cd2-4f80-bb4c-44701e0681a2,11986cf1-2146-4a21-ace7-fb09095090d5,Sports,250.91,2024-03-14 11:27:49
e06beb6e-dd15-4e30-958c-598e17f05c3d,8d2b6714-7e09-48bb-b8be-def6e3f3bd45,Home,382.24,2024-04-14 04:00:27
d38d58da-2e25-42f9-b890-6e59ad7e083d,166669af-1423-4108-8e56-6f4efacd75ae,Home,20.9,2024-05-08 17:09:29
40b76f20-8655-486f-bde3-db56dcacc0ab,5eb7658b-cf69-42de-9995-e7f35d22d52a,Clothing,243.9,2024-04-09 09:05:23
4b8b5b61-5f64-495c-9b14-5653247cf7eb,0c43eea1-003b-42c4-810e-851a8b844ca7,Electronics,143.46,2024-03-20 20:23:20
b2782e37-cbea-428e-9a9a-ded4712bd9bb,29161f2b-490c-489c-bb6c-19defaf26c73,Home,270.13,2024-04-07 21:58:19
2cd104a9-601a-43cd-b53f-103e9fc1df91,33ca564d-cce1-43e2-b362-9c0dc5524df3,Clothing,216.58,2024-01-21 14:52:37
619fd344-2476-424b-a6fd-643bb61383d7,f10d55f6-9b67-4d93-aa31-79b4b55e786c,Clothing,322.31,2024-02-04 01:11:30
7df1440e-784f-4ec2-b1ff-1cfc4c8f392b,137d986a-c4e6-497f-b0b0-14eea237b11c,Sports,87.72,2024-01-28 17:59:07
fa20dcbd-3af5-4b64-b976-2f1bac6999b0,5042060a-d837-4e7c-9ad6-41ad68475af3,Home,38.31,2024-03-15 20:24:56
2f0cf4f9-5903-4bca-a555-27cdf1283f02,5042060a-d837-4e7c-9ad6-41ad68475af3,Home,240.67,2024-02-10 01:02:41
14fb6df5-62ef-4cbd-862a-5f70105f57fc,7e804a82-17e9-4430-ad08-5417afeb5a42,Home,56.97,2024-02-22 01:26:21
