TransactionID,CustomerID,ProductCategory,Amount,TransactionDateTime
db99eb87-40b3-4723-a31d-c3037ae7740b,790f03d5-8672-4a17-a555-4ec2e2bf4a3b,Home,470.79,2024-04-19 08:59:28
1a634495-a358-4180-9810-830e37fef390,7851314f-6d2b-418c-9883-ddf189cff7da,Sports,434.84,2024-05-12 12:12:56
bcb4f867-6253-4427-8183-fe2c56505d05,c4e164dd-1d26-4050-a241-6eaa2c56014e,Clothing,24.72,2024-03-16 04:11:27
bea74ac5-792b-4aa7-88a3-0194816f36cc,6968c6e0-c117-498b-95df-611f9fb0c35c,Clothing,426.66,2024-03-11 20:02:26
97495d19-cef2-4789-87b7-a85329cf560f,2bbda552-cc06-48d6-a698-3e484550bde8,Electronics,324.77,2024-04-15 19:43:58
976a7851-478c-4b4d-96d0-f95efcb471ed,befc9706-c321-4450-9be9-6c5b2091135b,Beauty,195.33,2024-04-13 13:42:58
7bf0873a-4841-48d2-a354-f4a15c9e4e09,91067d57-c563-42d3-adff-ea7560373a9e,Sports,317.21,2024-05-01 17:37:29
c8885fae-55fc-4f7e-8485-66ba248cdea9,6cb7f2b5-f694-48a3-bedc-5901243e9923,Home,118.32,2024-03-02 21:58:56
66e8345c-74ee-424f-9d92-09e2515bb534,db1e0c01-7266-4d90-ac9e-de74543bc69e,Home,155.35,2024-01-31 04:28:45
d9d3bf7d-b994-4eb9-a3a8-ce326000142b,c7834929-97f0-416a-b77b-43efdcf24f80,Sports,156.19,2024-01-27 01:04:09
0b42559f-855a-4c00-8ac6-5601f2c64730,fcd97e56-5681-4da0-a1a3-87b9f9f4402e,Beauty,495.7,2024-03-23 09:36:36
7c2bba30-2f4a-47a7-8656-2f96a3287a08,4b6b15b0-3f59-4b1e-9d26-06e6567c787e,Clothing,401.21,2024-03-14 03:49:52
0ffabcaa-73dc-4826-aac8-6359a57af9d3,834df79d-27cc-46ea-a689-ad80722975f0,Clothing,193.38,2024-01-15 06:24:22
26bb93ca-5212-43da-b7f2-d3ce4c521d2b,dd567085-f7f6-4b09-a910-86849546c54a,Electronics,221.98,2024-03-19 02:28:47
0e449124-9f80-486c-a42a-97f1ebd3c065,b9d76d3b-5702-497c-9486-c79dd788a59d,Clothing,424.21,2024-01-10 08:32:37
2629412d-192a-4c15-8aa4-dc6d164932a1,c2b8fe83-87c4-4082-a3dd-990e167ebcfc,Clothing,371.94,2024-01-19 07:51:15
570b7711-b737-4040-a1d2-05b3cebef832,9a396fba-08c9-4687-aad0-b4e2609ed7cd,Clothing,189.93,2024-03-12 10:40:46
e4d013fd-8486-4de2-8d0e-24f75fcc0f2f,dace4407-c2d8-4b80-95d1-025858563820,Clothing,69.99,2024-04-21 00:31:33
58a3446a-0180-4b59-b6cc-961b0739fefa,ab88782b-b8fc-4def-9c65-215272b25dc6,Clothing,431.77,2024-02-17 04:15:01
d7f81edf-cd96-4544-ab37-c3edf095020b,3a6663dd-54e7-432b-becb-a1ab80c42467,Clothing,25.53,2024-01-18 00:40:06
60496d35-5dfb-49e1-9182-6781c955422f,1e5b7ffe-462f-40bc-9bc6-54da47a0f610,Electronics,460.57,2024-05-12 21:23:39
67a2aa55-f463-4c6f-af49-c31b492e1cf8,c2ecfb71-7a90-4dcd-8e65-4e4a494f33bc,Electronics,365.21,2024-04-08 17:15:42
cb2fb6a1-2d10-4ee2-bb8f-6daf77d3ba57,68127732-804f-47da-8537-63dab8205993,Clothing,337.63,2024-05-09 15:47:18
6deb54b1-5e4b-43ff-b89b-0ef28b1dc0fa,0b3fdd22-37b0-4e76-bb8b-d13605f405f1,Sports,488.31,2024-02-24 11:02:28
e9542feb-f3f4-4f82-8dc8-138e2dacf58e,4f82416d-71e5-4f74-8537-65f0f6291438,Sports,72.72,2024-02-19 15:15:38
